Accepted,ActionDate,ActionDescription,ActionType,CompletionDate,ContactId,CreatedBy,CreationDate,CreationNotes,EndDate,Id,IsAppointment,LastUpdated,LastUpdatedBy,ObjectType,OpportunityId,PopupDate,Priority,UserID
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411267,-1,2012-03-28 09:19:19,Call members to ask how trial went,,12995,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:19,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411289,-1,2012-03-28 09:19:20,Call members to ask how trial went,,12997,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411307,-1,2012-03-28 09:19:20,Call members to ask how trial went,,12999,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411319,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13001,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411339,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13003,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411355,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13005,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411371,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13007,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411381,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13009,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411393,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13013,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411365,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13015,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411377,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13017,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411401,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13019,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411413,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13021,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411433,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13023,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411449,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13025,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411467,-1,2012-03-28 09:19:20,Call members to ask how trial went,,13027,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:20,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411473,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13029,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411499,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13031,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411513,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13033,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411367,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13037,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411383,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13039,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411403,-1,2012-03-28 09:19:21,Call members to ask how trial went,,13043,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:21,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411419,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13045,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411431,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13049,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411447,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13051,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411461,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13053,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411477,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13055,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411489,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13057,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411503,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13059,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411369,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13061,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411387,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13063,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-03-28 09:00:00,TTM Trial Over Call,Call,,1411399,-1,2012-03-28 09:19:22,Call members to ask how trial went,,13065,0,2012-03-29 16:34:01,0,Task,,2012-03-28 03:19:22,1,Diana Carrera
0,2012-08-06 00:00:00,TFF Initial Warm Up Call,Call,2014-05-22 00:00:00,1419101,-1,2012-08-06 18:37:23,"Initial welcome/warm-up call: Introduce yourself and find if they
received the first confirmation email. Make sure they know where to go on the site to
access materials and login. Also give them an idea of what they can expect going
forward. Let them know they can call YOU if they have questions.",,68502,0,2014-05-22 08:30:01,212555,Task,,2012-08-06 00:00:00,1,Darrell Gum
0,2012-08-31 00:00:00,Last FU Call for Trial - 25 Days In,Call,2014-05-22 00:00:00,1419101,-1,2012-08-31 00:35:44,"Last follow up call before renewal date. Find out how they liked the trial
thus far, talk about what they can expect going forward and mention a current promotion
and/or webinar which is &quot;members only&quot; and suggest that you look forward to seeing
them in the webinar.
Day 27 - Email - Last Tip:",,70079,0,2014-05-22 08:30:11,212555,Task,,2012-08-30 00:00:00,1,Darrell Gum
0,2012-11-29 00:00:00,TTM Initial Warm Up Call,Call,,1442485,-1,2012-11-29 17:15:45,"Initial welcome/warm-up call: Introduce yourself and find if they
received the first confirmation email. Make sure they know where to go on the site to
access materials and login. Also give them an idea of what they can expect going
forward. Let them know they can call YOU if they have questions.",,76385,0,2012-11-29 17:15:45,-1,Task,,2012-11-29 00:00:00,2,Diana Carrera
0,2012-11-29 00:00:00,TTM Initial Warm Up Call,Call,,1442547,-1,2012-11-29 17:15:45,"Initial welcome/warm-up call: Introduce yourself and find if they
received the first confirmation email. Make sure they know where to go on the site to
access materials and login. Also give them an idea of what they can expect going
forward. Let them know they can call YOU if they have questions.",,76387,0,2012-11-29 17:15:45,-1,Task,,2012-11-29 00:00:00,2,Diana Carrera
0,2012-11-29 00:00:00,TTM Initial Warm Up Call,Call,,1442681,-1,2012-11-29 23:17:07,"Initial welcome/warm-up call: Introduce yourself and find if they
received the first confirmation email. Make sure they know where to go on the site to
access materials and login. Also give them an idea of what they can expect going
forward. Let them know they can call YOU if they have questions.",,76429,0,2012-11-29 23:17:07,-1,Task,,2012-11-29 00:00:00,2,Diana Carrera
